scenario,cost,protected,maxRoadDns,minPropSz,maxAgrDns,OF,SAV,BETA,WET,SHR,HUM,neg_HUM,StC,SeqC,EO,SEI_CB,SEI_HT,SEI_OF,SEI_RI,SEI_SG,SEI_SV,SEI_WD,SEI_WN,Nat_Pl_Rch,FISH,HERP,CButCp,CpePrRs,CfLup,DsPrRs,FthlSdg,FrstSnail,MedFoam,Meconella,Microseris,MMurrlet,PopFlower,svMoth,Area
17_base,dollar,locked,3,2,0.5,17,17,17,17,0,0,0,17,0,17,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17_50_0,dollar,locked,3,2,0.5,17,17,17,17,0,0,0,17,0,17,50,50,50,50,50,50,50,50,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17_50_50,dollar,locked,3,2,0.5,17,17,17,17,0,0,0,17,0,17,50,50,50,50,50,50,50,50,17,0,0,50,50,50,50,50,50,50,50,50,50,50,50,0
17_100_50,dollar,locked,3,2,0.5,17,17,17,17,0,0,0,17,0,17,100,100,100,100,100,100,100,100,17,0,0,50,50,50,50,50,50,50,50,50,50,50,50,0
17_100_100,dollar,locked,3,2,0.5,17,17,17,17,0,0,0,17,0,17,100,100,100,100,100,100,100,100,17,0,0,100,100,100,100,100,100,100,100,100,100,100,100,0
17_base,dollar,locked,3,2,0.5,30,30,30,30,0,0,0,30,0,30,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17_50_0,dollar,locked,3,2,0.5,30,30,30,30,0,0,0,30,0,30,50,50,50,50,50,50,50,50,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17_50_50,dollar,locked,3,2,0.5,30,30,30,30,0,0,0,30,0,30,50,50,50,50,50,50,50,50,30,0,0,50,50,50,50,50,50,50,50,50,50,50,50,0
17_100_50,dollar,locked,3,2,0.5,30,30,30,30,0,0,0,30,0,30,100,100,100,100,100,100,100,100,30,0,0,50,50,50,50,50,50,50,50,50,50,50,50,0
17_100_100,dollar,locked,3,2,0.5,30,30,30,30,0,0,0,30,0,30,100,100,100,100,100,100,100,100,30,0,0,100,100,100,100,100,100,100,100,100,100,100,100,0
